title,authors,link
ContourFormer:Real-Time Contour-Based End-to-End Instance Segmentation Transformer,"Weiwei yao, Chen Li, Minjun Xiong, Wenbo Dong, Hao Chen, Xiong Xiao",https://arxiv.org/abs/2501.17688
Planning with Vision-Language Models and a Use Case in Robot-Assisted Teaching,"Xuzhe Dang, Lada Kudláčková, Stefan Edelkamp",https://arxiv.org/abs/2501.17665
Exploring Vision Language Models for Multimodal and Multilingual Stance Detection,"Jake Vasilakes, Carolina Scarton, Zhixue Zhao",https://arxiv.org/abs/2501.17654
Tonguescape: Exploring Language Models Understanding of Vowel Articulation,"Haruki Sakajo, Yusuke Sakai, Hidetaka Kamigaito, Taro Watanabe",https://arxiv.org/abs/2501.17643
In-Context Meta LoRA Generation,"Yihua Shao, Minxi Yan, Yang Liu, Siyu Chen, Wenjie Chen, Xinwei Long, Ziyang Yan, Lei Li, Chenyu Zhang, Nicu Sebe, Hao Tang, Yan Wang, Hao Zhao, Mengzhu Wang, Jingcai Guo",https://arxiv.org/abs/2501.17635
The Imitation Game According To Turing,"Sharon Temtsin(1), Diane Proudfoot(1), David Kaber(2), Christoph Bartneck(1) ((1) The University of Canterbury, (2) Oregon State University)",https://arxiv.org/abs/2501.17629
VoicePrompter: Robust Zero-Shot Voice Conversion with Voice Prompt and Conditional Flow Matching,"Ha-Yeong Choi, Jaehan Park",https://arxiv.org/abs/2501.17612
"CSEval: Towards Automated, Multi-Dimensional, and Reference-Free Counterspeech Evaluation using Auto-Calibrated LLMs","Amey Hengle, Aswini Kumar, Anil Bandhakavi, Tanmoy Chakraborty",https://arxiv.org/abs/2501.17581
Music2Latent2: Audio Compression with Summary Embeddings and Autoregressive Decoding,"Marco Pasini, Stefan Lattner, George Fazekas",https://arxiv.org/abs/2501.17578
Exploring the Potential of Wireless-enabled Multi-Chip AI Accelerators,"Emmanuel Irabor, Mariam Musavi, Abhijit Das, Sergi Abadal",https://arxiv.org/abs/2501.17567
An Exceptional Dataset For Rare Pancreatic Tumor Segmentation,"Wenqi Li, Yingli Chen, Keyang Zhou, Xiaoxiao Hu, Zilu Zheng, Yue Yan, Xinpeng Zhang, Wei Tang, Zhenxing Qian",https://arxiv.org/abs/2501.17555
Is Conversational XAI All You Need? Human-AI Decision Making With a Conversational XAI Assistant,"Gaole He, Nilay Aishwarya, Ujwal Gadiraju",https://arxiv.org/abs/2501.17546
RegD: Hierarchical Embeddings via Distances over Geometric Regions,"Hui Yang, Jiaoyan Chen",https://arxiv.org/abs/2501.17518
LLM Assistance for Pediatric Depression,"Mariia Ignashina, Paulina Bondaronek, Dan Santel, John Pestian, Julia Ive",https://arxiv.org/abs/2501.17510
Neural Spelling: A Spell-Based BCI System for Language Neural Decoding,"Xiaowei Jiang, Charles Zhou, Yiqun Duan, Ziyi Zhao, Thomas Do, Chin-Teng Lin",https://arxiv.org/abs/2501.17489
DINT Transformer,"Yueyang Cang, Yuhang Liu, Xiaoteng Zhang, Erlu Zhao, Li Shi",https://arxiv.org/abs/2501.17486
